title,compound,datetime
North Korea state media says there is an 'important report' amid key party meeting,0.5423,2024-06-29 15:20:01.536761
"North Korea’s state media says there is ‘important news’, does not give details",0.0,2024-06-29 17:31:10.724478
"Firm making car that Putin gifted to Kim uses South Korean parts, data shows",0.0,2024-06-29 17:31:10.731546
‘More people involved in Korea trafficking scam’,0.0,2024-06-29 18:31:10.724478
Asia Pacific | World,0.0,2024-06-29 18:31:10.724478
South Korea Koreas Tensions | Nation/World | bdtonline.com,-0.4019,2024-06-29 18:31:10.729491
Viral video depicts eerie atmosphere of North Korea's subway system,-0.3612,2024-06-29 19:30:48.454461
Fear of cuts to frontline services grow as Victoria grapples with funding crisis,-0.8591,2024-06-29 19:30:48.460778
North Korea's missile test disputed by South Korea as failure,-0.6908,2024-06-29 19:31:10.715713
"North Korea executes man for consuming South Korean media, report reveals",0.0,2024-06-29 19:31:10.715713
[Column] The miscalculations that started the Korean War mustn't be repeated,-0.5994,2024-06-29 19:31:10.724478
South Korea orders striking cement truckers back to work,0.0,2024-06-29 19:31:10.729491
"North Korea blames South Korea, U.S. and Japan ties as Asian version of NATO",-0.4019,2024-06-29 19:36:32.243111
"GPLC 2024 promotes family, faith for African renaissance amid turmoil in Kenya",0.4019,2024-06-29 20:31:10.722848
South Korea's Defense Sector Thrives amid Rising Global Demand,0.0,2024-06-29 20:31:10.724478
"Woman dead after alleged domestic violence related stabbing near Innisfail, police charge man with murder",-0.9337,2024-06-29 20:31:10.729491
SA locals working alongside conservationists to save the endangered Eastern Osprey,0.4939,2024-06-29 20:31:10.729491
"N. Korea slams military drills by US, S. Korea, Japan",0.0,2024-06-29 20:31:10.731546
Reform UK's Nigel Farage wants to shake up the election and it's looking like he'll win the seat of Clacton to do it,0.6808,2024-06-29 20:31:10.731546
Korea's beaches ready for summer vacationers,0.3612,2024-06-29 21:00:25.079080
"China vanquish Korea, arrange Final rematch versus Australia",0.0,2024-06-29 21:00:25.079080
Netflix announces new reality series 'Super Rich in Korea' hosted by GOT7's BamBam,0.8176,2024-06-29 21:00:25.079080
North Korea's Missile Launches Escalate Regional Tensions,-0.4019,2024-06-29 21:00:25.079080
Scent-based dating sees young South Koreans use nose to find partner,0.0,2024-06-29 21:00:25.079080
"North Korea Calls South Korea, US and Japan 'Asian Version of NATO'",0.0,2024-06-29 21:00:25.079080
South Korea reports North Korea's test of hypersonic missile,0.0,2024-06-29 21:00:25.079080
"Wearing shoes inside: NYT article sparks backlash from Korean, Korea-based communities",0.0,2024-06-29 21:00:25.079080
North Korea blows up the Diamond Mountain tourist resort that once symbolized peace and cooperation with South ...,0.7096,2024-06-29 21:00:25.079080
"As North Korean and Chinese Threats Rise, US Looks to Lock in Defense Partnerships with Asian Allies",-0.3182,2024-06-29 21:00:25.079080
North Korea resumes sending trash-filled balloons across border; Yoon calls act 'despicable',0.0,2024-06-29 21:00:25.079080
High-speed traders and short sellers face growing Asia crackdown,0.1779,2024-06-29 21:00:25.079080
North Korea cracking down on wedding dresses and slang - report,0.0,2024-06-29 21:00:25.079080
North Korea | World,0.0,2024-06-29 21:00:25.079080
Russia to send children to North Korean summer camp,0.0,2024-06-29 21:00:25.079080
"‘Asian Nato’: North Korea slams joint drills by US, South Korea and Japan",0.0,2024-06-29 21:00:25.079080
2024 Korea-ful Night: Dynamic Korea,0.3818,2024-06-29 21:00:25.079080
North Korea not ready to meet with South Korea in Russia: agencies,-0.2755,2024-06-29 21:00:25.079080
"Trump will encourage Japan-S Korea relations, his advisers tell foreign officials",0.5106,2024-06-29 21:00:25.079080
"South Korea is surging the travel Industry with new visa-free entry policy for 103 countries, including USA, Thailand and ...",0.0,2024-06-29 21:00:25.079080
"US, S.Korea, Japan end 1st joint military drill",0.0,2024-06-29 21:00:25.079080
"North Korea condemns joint military exercise by South Korea, US and Japan",-0.5106,2024-06-29 21:00:25.079080
"N. Korea condemns drills by US, Japan, S. Korea as 'Asian NATO'",-0.5106,2024-06-29 21:00:25.079080
Peeking into North Korea: Glimpses of daily life from across the border,0.0,2024-06-29 21:00:25.079080
The car Putin gifted to Kim Jong-un was built with South Korean parts,0.0,2024-06-29 21:00:25.092237
Putin's Alliance With North Korea's Kim Worries China: Analyst,-0.4215,2024-06-29 21:00:25.092237
Many South Koreans are now eating toothpicks for TikTok,0.0,2024-06-29 21:00:25.092237
"Refreshed 2026 Genesis GV80 greets the public in Busan, Korea",0.1531,2024-06-29 21:00:25.092237
"Russian kids being sent to summer camps in North Korea: ""excellent conditions""",0.5719,2024-06-29 21:00:25.092237
Are public executions on the rise in North Korea? The Hermit Kingdom seeks to curb cultural influence from,0.0,2024-06-29 21:00:25.093828
"North Korea's hypersonic missile explodes midair in failed launch, says South Korea",-0.5106,2024-06-29 21:00:25.093828
"‘Irrefutable’ evidence of North Korea missile debris in Ukraine, expert tells UN",0.0,2024-06-29 21:00:25.093828
"South Korea plans to ban cryptocurrency trading, rattles market",-0.5574,2024-06-29 21:00:25.093828
Peril with Little Promise: The US Presidential Election and South Korea's Dilemma,-0.3384,2024-06-29 21:00:25.095020
"Officer held for human trafficking: Fully cooperating with law enforcement agencies, says Navy",0.0,2024-06-29 21:00:25.095020
"Meet Rozy, South Korea's first virtual human influencer based on AI that has landed over 100 sponsorships",0.0,2024-06-29 21:00:25.095458
