title,datetime,link
"S&P 500, Nasdaq notch record closing highs ahead of CPI, Fed decision",2024-06-11 14:56:16.067591,news.google.com/articles/CBMiS2h0dHBzOi8vY2EuZmluYW5jZS55YWhvby5jb20vbmV3cy9hc2lhLXN0b2Nrcy1yYW5nZS1ib3VuZC1ldS0wMjM1MjAyODYuaHRtbNIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen
"S&P 500 Extends Record Ahead of Inflation Data, Fed Meeting",2024-06-11 14:56:16.067591,news.google.com/articles/CBMiVWh0dHBzOi8vd3d3Lndzai5jb20vZmluYW5jZS9zdG9ja3MvZ2xvYmFsLXN0b2Nrcy1tYXJrZXRzLWRvdy1uZXdzLTA2LTExLTIwMjQtNTJjYTQ0MDnSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen
"Nasdaq, S&P 500 post record closing highs as Apple soars",2024-06-11 14:56:16.067591,news.google.com/articles/CBMiT2h0dHBzOi8vY2EuZmluYW5jZS55YWhvby5jb20vbmV3cy9mdXR1cmVzLWZhbGwtbWFya2V0cy1hd2FpdC1mZWQtMTAzMDI1MDA5Lmh0bWzSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen
S&P 500 Index: What It's for and Why It's Important in Investing,2024-06-12 14:56:16.057804,news.google.com/articles/CBMiLmh0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vdGVybXMvcy9zcDUwMC5hc3DSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen
Apple drives S&P 500 and Nasdaq to new records,2024-06-12 14:56:16.059334,news.google.com/articles/CBMiaWh0dHBzOi8vd3d3LndlYWx0aHByb2Zlc3Npb25hbC5jYS9uZXdzL2luZHVzdHJ5LW5ld3MvYXBwbGUtZHJpdmVzLXNwLTUwMC1hbmQtbmFzZGFxLXRvLW5ldy1yZWNvcmRzLzM4NjEyN9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen
"Stock Market News From June 12, 2024: Dow Slides After Fed Decision; CPI Report; Apple, Nvidia, Tesla, Alphabet ...",2024-06-12 14:56:16.060062,news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LmJhcnJvbnMuY29tL2xpdmVjb3ZlcmFnZS9zdG9jay1tYXJrZXQtdG9kYXktMDYxMjI00gEA?hl=en-CA&gl=CA&ceid=CA%3Aen
Cool CPI Inflation Boosts Fed Rate-Cut Odds; S&P 500 Jumps On Tame Service Prices,2024-06-12 14:56:16.067591,news.google.com/articles/CBMiXWh0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vbmV3cy9lY29ub215L2NwaS1pbmZsYXRpb24tbWF5LWZlZC1tZWV0aW5nLXJhdGUtY3V0LW91dGxvb2stc3AtNTAwL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen
S&P 500 Hits Fresh High After Cooler Inflation Data,2024-06-12 14:56:16.067591,news.google.com/articles/CBMiVWh0dHBzOi8vd3d3Lndzai5jb20vZmluYW5jZS9zdG9ja3MvZ2xvYmFsLXN0b2Nrcy1tYXJrZXRzLWRvdy1uZXdzLTA2LTEyLTIwMjQtZDM5YmZhYTPSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen
S&P 500 Will Hit New Highs Despite Hawkish Fed: Bloomberg Survey,2024-06-12 14:56:16.067591,news.google.com/articles/CBMicmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDI0LTA2LTEyL3MtcC01MDAtd2lsbC1oaXQtbmV3LWhpZ2hzLWRlc3BpdGUtaGF3a2lzaC1mZWQtYmxvb21iZXJnLXN1cnZledIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen
Is SPY Stock A Buy Right Now? What To Know About World's Top Index,2024-06-13 14:56:16.057804,news.google.com/articles/CBMiMWh0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vbmV3cy9zcHktc3RvY2stYnV5LW5vdy_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen
